title, artist, id, url, length
LOVE. (FEAT. ZACARI.), Kendrick Lamar, 1223592501,https://itunes.apple.com/us/artist/kendrick-lamar/id368183298?uo=4,213400
L-O-V-E, Nat King Cole, 715581836,https://itunes.apple.com/us/artist/nat-king-cole/id42616562?uo=4,152533
Love, Keyshia Cole, 70750461,https://itunes.apple.com/us/artist/keyshia-cole/id5305761?uo=4,255333
All of Me, John Legend, 679297849,https://itunes.apple.com/us/artist/john-legend/id16586443?uo=4,269557
Love, Musiq, 267411,https://itunes.apple.com/us/artist/musiq/id263537526?uo=4,304667
I Won't Give Up, Jason Mraz, 509536631,https://itunes.apple.com/us/artist/jason-mraz/id156987?uo=4,240166
On the Floor (feat. Pitbull) [Radio Edit], Jennifer Lopez, 435747698,https://itunes.apple.com/us/artist/jennifer-lopez/id463009?uo=4,230920
L.O.V.E., Ashlee Simpson, 81776059,https://itunes.apple.com/us/artist/ashlee-simpson/id13332559?uo=4,153053
Love, Matt White, 266966186,https://itunes.apple.com/us/artist/matt-white/id60588515?uo=4,170040
na,na,na,na,na
Bleeding Love, Leona Lewis, 266450376,https://itunes.apple.com/us/artist/leona-lewis/id208651273?uo=4,262293
Love Story, Taylor Swift, 295757188,https://itunes.apple.com/us/artist/taylor-swift/id159260351?uo=4,235267
Just Give Me a Reason (feat. Nate Ruess), P!nk, 545398139,https://itunes.apple.com/us/artist/p-nk/id4488522?uo=4,242721
Love the Way You Lie (feat. Rihanna), Eminem, 378423786,https://itunes.apple.com/us/artist/eminem/id111051?uo=4,263340
On the Floor (feat. Pitbull), Jennifer Lopez, 435747659,https://itunes.apple.com/us/artist/jennifer-lopez/id463009?uo=4,284867
Send My Love (To Your New Lover), Adele, 1051394219,https://itunes.apple.com/us/artist/adele/id262836961?uo=4,223079
DJ Got Us Fallin' In Love (feat. Pitbull), Usher, 380534256,https://itunes.apple.com/us/artist/usher/id15885?uo=4,222151
Love Song, Sara Bareilles, 258604737,https://itunes.apple.com/us/artist/sara-bareilles/id64398046?uo=4,258484
Love, Sugarland, 285448856,https://itunes.apple.com/us/artist/sugarland/id17547055?uo=4,269693
Love Yourself, Justin Bieber, 1049605634,https://itunes.apple.com/us/artist/justin-bieber/id320569549?uo=4,233719
How to Love, Lil Wayne, 459904923,https://itunes.apple.com/us/artist/lil-wayne/id5869117?uo=4,240307
I'm Into You (feat. Lil Wayne), Jennifer Lopez, 435747662,https://itunes.apple.com/us/artist/jennifer-lopez/id463009?uo=4,200133
Your Love Is My Drug, Ke$ha, 344796457,https://itunes.apple.com/us/artist/kesha/id334854763?uo=4,186980
Drunk in Love (feat. Jay Z), Beyoncé, 780330308,https://itunes.apple.com/us/artist/beyonc%C3%A9/id1419227?uo=4,323486
Love Me Like You Do, Ellie Goulding, 956689799,https://itunes.apple.com/us/artist/ellie-goulding/id338264227?uo=4,250267
We Found Love (feat. Calvin Harris), Rihanna, 481067882,https://itunes.apple.com/us/artist/rihanna/id63346553?uo=4,215227
Try, P!nk, 545398138,https://itunes.apple.com/us/artist/p-nk/id4488522?uo=4,247912
Make You Feel My Love, Adele, 282374076,https://itunes.apple.com/us/artist/adele/id262836961?uo=4,212040
na,na,na,na,na
Same Love (feat. Mary Lambert), Macklemore & Ryan Lewis, 560097759,https://itunes.apple.com/us/artist/macklemore-ryan-lewis/id543948286?uo=4,320035
As Long As You Love Me (feat. Big Sean), Justin Bieber, 534441551,https://itunes.apple.com/us/artist/justin-bieber/id320569549?uo=4,229467
na,na,na,na,na
L-O-V-E, Nat King Cole, 724185018,https://itunes.apple.com/us/artist/nat-king-cole/id42616562?uo=4,154213
Love in the Dark, Adele, 1051394815,https://itunes.apple.com/us/artist/adele/id262836961?uo=4,285935
Hollaback Girl, Gwen Stefani, 30523766,https://itunes.apple.com/us/artist/gwen-stefani/id108717?uo=4,199907
Love You Like a Love Song, Selena Gomez & The Scene, 444901560,https://itunes.apple.com/us/artist/selena-gomez-the-scene/id327163415?uo=4,188240
Love, Lana Del Rey, 1256685413,https://itunes.apple.com/us/artist/lana-del-rey/id464296584?uo=4,272743
na,na,na,na,na
L'o'v'e, Dane Cook, 76167590,https://itunes.apple.com/us/artist/dane-cook/id31177361?uo=4,121000
F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar), A$AP Rocky, 581997309,https://itunes.apple.com/us/artist/a%24ap-rocky/id481488005?uo=4,233787
Ex's & Oh's, Elle King, 941366737,https://itunes.apple.com/us/artist/elle-king/id395811135?uo=4,202177
Too Close, Alex Clare, 521189683,https://itunes.apple.com/us/artist/alex-clare/id403484444?uo=4,256560
Sweater Weather, The Neighbourhood, 635016640,https://itunes.apple.com/us/artist/the-neighbourhood/id219350813?uo=4,240400
This Love, Taylor Swift, 907242712,https://itunes.apple.com/us/artist/taylor-swift/id159260351?uo=4,250100
She Sells Sanctuary, The Cult, 1028833873,https://itunes.apple.com/us/artist/the-cult/id150548?uo=4,263000
na,na,na,na,na
No Love (feat. Lil Wayne), Eminem, 378423710,https://itunes.apple.com/us/artist/eminem/id111051?uo=4,299476
This Love, Maroon 5, 902147880,https://itunes.apple.com/us/artist/maroon-5/id1798556?uo=4,207224
Hey Ya!, Outkast, 303133048,https://itunes.apple.com/us/artist/outkast/id289550?uo=4,235213
Love Lockdown, Kanye West, 778788846,https://itunes.apple.com/us/artist/kanye-west/id2715720?uo=4,270307
